,event_id,division,round,team1,team2,score1,score2,match_link
74,7349,Division 2 X-Ball™,Prelims,Seattle Ninjas,Rip City United,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2102
75,7349,Division 2 X-Ball™,Ocho-Finals,New England Wreckage,Colorado BLITZ,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1002
76,7349,Division 2 X-Ball™,Ocho-Finals,TPP Totem,THE FARM,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1003
77,7349,Division 2 X-Ball™,Ocho-Finals,Leverage ,Seattle Cartel,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1001
78,7349,Division 2 X-Ball™,Ocho-Finals,OAKLAND GREY AREA,Grit X,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1000
79,7349,Division 2 X-Ball™,Quarter-Finals,OAKLAND GREY AREA,Killers,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1000
80,7349,Division 2 X-Ball™,Quarter-Finals,Leverage ,Austin Notorious ,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1001
81,7349,Division 2 X-Ball™,Quarter-Finals,TPP Totem,KC Missouri Allstars,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1003
82,7349,Division 2 X-Ball™,Quarter-Finals,New England Wreckage,CWE POWER,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1002
83,7349,Division 2 X-Ball™,Semi-Finals,TPP Totem,Leverage ,3,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=1001
84,7349,Division 2 X-Ball™,Semi-Finals,New England Wreckage,OAKLAND GREY AREA,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=1000
85,7349,Division 3 X-Ball™,Prelims,New York BRAVE,CARIBBEAN ALLSTARZ,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2007
86,7349,Division 3 X-Ball™,Prelims,New York InfeXtious,CARIBBEAN ALLSTARZ,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2009
87,7349,Division 3 X-Ball™,Prelims,PORTLAND PROPHECY,New York InfeXtious,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2006
88,7349,Division 3 X-Ball™,Prelims,Annapolis A-Team 2,PORTLAND PROPHECY,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2008
89,7349,Division 3 X-Ball™,Prelims,Wisconsin Infamous,Team 13,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2115
90,7349,Division 3 X-Ball™,Prelims,Team 13,LVPP ICEMEN,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2128
91,7349,Division 3 X-Ball™,Prelims,LVPP ICEMEN,Denver Kaos,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2314
92,7349,Division 3 X-Ball™,Prelims,Denver Kaos,Warpath,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2116
93,7349,Division 3 X-Ball™,Prelims,Palm Beach Vipers,Veteran Militia Bravo,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2050
94,7349,Division 3 X-Ball™,Prelims,Rood BoiZ,Space Cadets,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2065
95,7349,Division 3 X-Ball™,Prelims,LA ALL STARS ,Veteran Militia Bravo,6,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2053
96,7349,Division 3 X-Ball™,Prelims,Space Cadets,LA ALL STARS ,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2051
97,7349,Division 3 X-Ball™,Prelims,Veteran Militia Bravo,Space Cadets,6,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2261
98,7349,Division 3 X-Ball™,Prelims,Carolina Crisis Bronze,Suricatos Team LA,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2071
99,7349,Division 3 X-Ball™,Prelims,STRUGGLE,MIA OutKast,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2082
100,7349,Division 3 X-Ball™,Prelims,MIA OutKast,Suricatos Team LA,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2270
101,7349,Division 3 X-Ball™,Prelims,Boss Ballers D3,Suricatos Team LA,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2073
102,7349,Division 3 X-Ball™,Prelims,New York Wrecking Crew,Carolina Breakout,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2024
103,7349,Division 3 X-Ball™,Prelims,Carolina Breakout,DC Haze,3,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2022
104,7349,Division 3 X-Ball™,Prelims,DC Haze,Louisville Fusion Red,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2025
105,7349,Division 3 X-Ball™,Prelims,SQUAD,Louisville Fusion Red,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2023
106,7349,Division 3 X-Ball™,Prelims,NRG Alpha,Bayside Raiders ,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2033
107,7349,Division 3 X-Ball™,Prelims,Swag Jackers,TNB,3,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2034
108,7349,Division 3 X-Ball™,Prelims,TNB,The Devils  Own,4,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2037
